"avg_rating","state"
4.199999809,"NE"
4.149999857,"RI"
4.099999905,"KS"
4.064705764411765,"UT"
4.0,"LA"
4.0,"ID"
3.9500000475,"DE"
3.9499999285,"NH"
3.944186011023256,"WA"
3.8932432129459458,"MA"
3.8787233887386017,"CA"
3.864646454020202,"NY"
3.850000010611111,"IN"
3.8333333576666666,"DC"
3.829577469422535,"VA"
3.8277777831111113,"TN"
3.821428554142857,"SC"
3.8178571376785713,"CT"
3.817647022411765,"OR"
3.8071428195714287,"NC"
3.7999999522857144,"AR"
3.75,"AL"
3.74399998186,"GA"
3.7428571494285716,"NV"
3.74062497165625,"MI"
3.7285714036190476,"CO"
3.72199998852,"IL"
3.718181826818182,"WI"
3.713592244563107,"TX"
3.700000048,"OK"
3.699999968,"REMOTE"
3.69599997518,"PA"
3.6923076678205127,"FL"
3.667741898451613,"MO"
3.6666666136666666,"IA"
3.6400000148,"MD"
3.590322579,"OH"
3.5799999716,"KY"
3.5725490204509804,"NJ"
3.571428554357143,"AZ"
3.5681818181818183,"MN"
3.561111105777778,"USA"
3.5,"NM"
3.4999999998,"ME"
3.400000095,"WV"
3.400000095,"HI"
NULL,"SD"
NULL,"VT"
NULL,"WY"
NULL,NULL
